epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,504.32,0.98262,0.46734,0.93306,0.95592,0.94731,0.95432,0.61004,1.36693,0.54257,1.12589,0.0014456,0.0014456,0.0014456
44,515.49,0.97963,0.47128,0.92931,0.94472,0.95289,0.95356,0.60825,1.38656,0.52442,1.14264,0.0014324,0.0014324,0.0014324
45,526.743,0.96141,0.45477,0.92463,0.93571,0.94888,0.953,0.59258,1.42337,0.52457,1.15584,0.0014192,0.0014192,0.0014192
46,537.908,0.97448,0.46061,0.93698,0.94916,0.94238,0.95569,0.60434,1.409,0.53071,1.18644,0.001406,0.001406,0.001406
47,549.011,0.97002,0.45548,0.92548,0.95025,0.94083,0.95274,0.59406,1.42877,0.52969,1.16038,0.0013928,0.0013928,0.0013928
48,560.23,0.99087,0.45854,0.92571,0.94729,0.95203,0.95549,0.59878,1.42017,0.51634,1.15708,0.0013796,0.0013796,0.0013796
49,571.368,0.94405,0.44733,0.92055,0.94043,0.95167,0.94906,0.58561,1.39917,0.52721,1.13956,0.0013664,0.0013664,0.0013664
50,582.6,0.95098,0.44668,0.93021,0.96311,0.94052,0.96099,0.60236,1.38683,0.52047,1.14124,0.0013532,0.0013532,0.0013532
51,593.752,0.96981,0.45201,0.93766,0.95892,0.93276,0.9592,0.59534,1.40072,0.53304,1.14402,0.00134,0.00134,0.00134
52,605.004,0.95489,0.44663,0.92309,0.95396,0.92423,0.96032,0.59859,1.40634,0.52877,1.1553,0.0013268,0.0013268,0.0013268
53,616.191,0.94786,0.44417,0.91674,0.95604,0.93866,0.9593,0.61956,1.35272,0.5216,1.13686,0.0013136,0.0013136,0.0013136
54,627.363,0.94222,0.44028,0.9141,0.93756,0.93489,0.94891,0.5612,1.44357,0.53679,1.14033,0.0013004,0.0013004,0.0013004
55,638.56,0.937,0.43695,0.91822,0.95158,0.9368,0.94773,0.60394,1.35261,0.5028,1.1305,0.0012872,0.0012872,0.0012872
56,649.729,0.92141,0.43384,0.90972,0.95124,0.94278,0.94696,0.59508,1.42122,0.51968,1.18332,0.001274,0.001274,0.001274
57,660.943,0.93164,0.43522,0.91661,0.94952,0.93773,0.9528,0.59983,1.38897,0.49576,1.144,0.0012608,0.0012608,0.0012608
58,672.156,0.91953,0.42958,0.91124,0.94333,0.93866,0.9486,0.58635,1.40213,0.51557,1.1402,0.0012476,0.0012476,0.0012476
